Total number of words: 2973399
Total number of distinct words: 52488
Popular treshold: 2625
Lower common treshold: 24931
Upper common treshold: 27557
Rare treshold: 49863

Popular words
+---------------+---------+----+
|           Word|Frequency|Rank|
|      president|      759| 378|
|         return|      757| 379|
|     electronic|      756| 380|
|          peace|      756| 381|
|            sea|      756| 382|
|        captain|      754| 383|
|            boy|      752| 384|
|       received|      751| 385|
|           soul|      748| 386|
|          child|      746| 387|
|           dear|      745| 388|
|           call|      744| 389|
|           feel|      744| 390|
|         friend|      744| 391|
|     government|      744| 392|
|           does|      738| 393|
|          along|      737| 394|
|           open|      736| 395|
|          above|      733| 396|
|          cried|      732| 397|
|         matter|      732| 398|
|          white|      729| 399|
|        written|      729| 400|
|           laid|      728| 401|
|     foundation|      727| 402|
|          alone|      723| 403|
|           turn|      722| 404|
|        chapter|      720| 405|
|         either|      720| 406|
|          leave|      720| 407|
|         heaven|      718| 408|
|           evil|      717| 409|
|           live|      714| 410|
|         public|      714| 411|
|       servants|      709| 412|
|      sometimes|      709| 413|
|           laws|      707| 414|
|          prick|      702| 415|
|          terms|      698| 416|
|        servant|      695| 417|
|         around|      694| 418|
|           hair|      691| 419|
|         toward|      691| 420|
|         passed|      690| 421|
|        perhaps|      688| 422|
|        several|      688| 423|
|         strong|      688| 424|
|           nora|      687| 425|
|       although|      686| 426|
|           true|      684| 427|
|        present|      683| 428|
|           cast|      681| 429|
|        however|      679| 430|
|           able|      678| 431|
|          river|      678| 432|
|           case|      677| 433|
|         family|      676| 434|
|           free|      676| 435|
|            cut|      675| 436|
|            ten|      675| 437|
|            art|      672| 438|
|        believe|      672| 439|
|        subject|      669| 440|
|         number|      668| 441|
|          stand|      668| 442|
|           hold|      665| 443|
|         moment|      661| 444|
|           gold|      653| 445|
|          spake|      652| 446|
|          egypt|      651| 447|
|         coming|      648| 448|
|          blood|      642| 449|
|          large|      640| 450|
|           sure|      640| 451|
|           hard|      639| 452|
|           lady|      636| 453|
|            six|      636| 454|
|           book|      634| 455|
|             de|      634| 456|
|            meg|      633| 457|
|       returned|      633| 458|
|          seven|      628| 459|
|          truth|      622| 460|
|        already|      619| 461|
|         master|      619| 462|
|            met|      617| 463|
|        majesty|      608| 464|
|            big|      605| 465|
|           hope|      605| 466|
|          ready|      604| 467|
|         ground|      603| 468|
|           hour|      603| 469|
|         wanted|      603| 470|
|      commanded|      602| 471|
|           care|      599| 472|
|         letter|      598| 473|
|         priest|      598| 474|
|           ship|      598| 475|
|           held|      597| 476|
|          means|      596| 477|
|        brother|      595| 478|
|        husband|      591| 479|
|       business|      589| 480|
|          judge|      588| 481|
|           aunt|      586| 482|
|            amy|      585| 483|
|        feeling|      585| 484|
|         became|      584| 485|
|          girls|      584| 486|
|        clothes|      582| 487|
|           miss|      580| 488|
|     everything|      579| 489|
|       daughter|      576| 490|
|         pretty|      576| 491|
|         places|      575| 492|
|           else|      573| 493|
|        persons|      573| 494|
|      agreement|      572| 495|
|         behind|      572| 496|
|         christ|      572| 497|
|       pleasure|      572| 498|
|            die|      570| 499|
|         nearly|      570| 500|
|           gods|      569| 501|
|         except|      566| 502|
|           boys|      565| 503|
|         sister|      564| 504|
|         become|      563| 505|
|         indeed|      562| 506|
|          tried|      562| 507|
|         united|      561| 508|
|         making|      559| 509|
|      authority|      558| 510|
|          sword|      555| 511|
|         silver|      553| 512|
|         desire|      551| 513|
|           died|      549| 514|
|        opinion|      548| 515|
|         laurie|      547| 516|
|           send|      547| 517|
|        carried|      546| 518|
|          early|      546| 519|
|        priests|      546| 520|
|           lost|      542| 521|
|           less|      541| 522|
|          ought|      540| 523|
|           dark|      536| 524|
|          doing|      534| 525|
|         twenty|      534| 526|
|          drink|      533| 527|
|           wish|      533| 528|
|           talk|      531| 529|
|          chief|      526| 530|
|            ask|      525| 531|
|           fact|      524| 532|
|          table|      524| 533|
|           sort|      523| 534|
|          bread|      521| 535|
|           fall|      521| 536|
|      necessary|      521| 537|
|            air|      520| 538|
|           boat|      520| 539|
|         church|      520| 540|
|        kingdom|      520| 541|
|        account|      519| 542|
|         opened|      518| 543|
|         answer|      517| 544|
|          thats|      513| 545|
|         really|      511| 546|
|       followed|      510| 547|
|         seeing|      509| 548|
|         walked|      509| 549|
|       remember|      507| 550|
|           mean|      506| 551|
|       strength|      506| 552|
|          flesh|      504| 553|
|        service|      504| 554|
|       brethren|      503| 555|
|         cities|      502| 556|
|         common|      502| 557|
|     concerning|      502| 558|
|          spoke|      501| 559|
|            sir|      499| 560|
|          close|      498| 561|
|        getting|      498| 562|
|         living|      498| 563|
|      soveraign|      497| 564|
|         during|      496| 565|
|            sin|      495| 566|
|     understand|      493| 567|
|           town|      492| 568|
|        trouble|      492| 569|
|          black|      489| 570|
|          field|      489| 571|
|          least|      489| 572|
|         afraid|      487| 573|
|          later|      487| 574|
|        society|      487| 575|
|         wicked|      487| 576|
|           arms|      486| 577|
|           save|      486| 578|
|         office|      482| 579|
|          short|      482| 580|
|            sun|      481| 581|
|         charge|      480| 582|
|         speech|      480| 583|
|         street|      480| 584|
|           bear|      479| 585|
|          lived|      479| 586|
|     afterwards|      478| 587|
|           fine|      476| 588|
|      following|      475| 589|
|      different|      470| 590|
|           form|      468| 591|
|           meet|      468| 592|
|      knowledge|      467| 593|
|            run|      464| 594|
|          whale|      464| 595|
|           paid|      463| 596|
|        nations|      461| 597|
|            ran|      461| 598|
|        liberty|      460| 599|
|        evening|      459| 600|
|          court|      458| 601|
|         mighty|      456| 602|
|         spoken|      456| 603|
|            pay|      455| 604|
|          wrote|      455| 605|
|       judgment|      453| 606|
|        license|      453| 607|
|           glad|      452| 608|
|           mary|      452| 609|
|          story|      452| 610|
|           need|      451| 611|
|          sense|      451| 612|
|           mans|      449| 613|
|            age|      447| 614|
|       standing|      447| 615|
|           walk|      447| 616|
|            act|      446| 617|
|         prince|      446| 618|
|            cry|      443| 619|
|          sleep|      443| 620|
|         taking|      442| 621|
|        command|      440| 622|
|          glory|      440| 623|
|        married|      439| 624|
|         minute|      439| 625|
|           line|      438| 626|
|        company|      437| 627|
|  common-wealth|      436| 628|
|          force|      436| 629|
|         please|      436| 630|
|          third|      436| 631|
|           copy|      435| 632|
|           pray|      433| 633|
|           wise|      433| 634|
|          midst|      432| 635|
|          quiet|      430| 636|
|        receive|      430| 637|
|          march|      428| 638|
|        towards|      428| 639|
|        stopped|      427| 640|
|          happy|      426| 641|
|           ones|      426| 642|
|        princes|      426| 643|
|        strange|      426| 644|
|           saul|      425| 645|
|           show|      425| 646|
|           army|      424| 647|
|      donations|      424| 648|
|       gathered|      424| 649|
|           ways|      424| 650|
|       covenant|      423| 651|
|           seem|      421| 652|
|       literary|      420| 653|
|            try|      420| 654|
|   congregation|      417| 655|
|          bound|      415| 656|
|       question|      415| 657|
|           beth|      413| 658|
|          onely|      413| 659|
|        destroy|      411| 660|
|         filled|      410| 661|
|         longer|      410| 662|
|          point|      410| 663|
|          burnt|      409| 664|
|           born|      408| 665|
|           fast|      408| 666|
|           foot|      408| 667|
|        letters|      406| 668|
|          month|      406| 669|
|        purpose|      405| 670|
|           wall|      405| 671|
|          seems|      404| 672|
|      beautiful|      403| 673|
|            bad|      402| 674|
|        entered|      402| 675|
|            eye|      401| 676|
|       appeared|      400| 677|
|      beginning|      400| 678|
|      delivered|      400| 679|
|        enemies|      399| 680|
|            jim|      399| 681|
|           wait|      399| 682|
|        greater|      398| 683|
|           rose|      398| 684|
|        faustus|      396| 685|
|         honour|      396| 686|
|        laughed|      394| 687|
|         broken|      393| 688|
|          jacob|      393| 689|
|        private|      393| 690|
|          altar|      388| 691|
|          hours|      387| 692|
|          party|      386| 693|
|      copyright|      385| 694|
|         itself|      385| 695|
|       thinking|      385| 696|
|           tree|      382| 697|
|          names|      381| 698|
|         island|      380| 699|
|         length|      380| 700|
|          spent|      380| 701|
|          offer|      379| 702|
|     siddhartha|      379| 703|
|           legs|      378| 704|
|          makes|      378| 705|
|          stone|      377| 706|
|          sound|      376| 707|
|          south|      376| 708|
|        england|      375| 709|
|        abraham|      374| 710|
|           gate|      374| 711|
|       possible|      374| 712|
|         surely|      374| 713|
|         twelve|      374| 714|
|         window|      373| 715|
|        english|      372| 716|
|              f|      372| 717|
|          loved|      372| 718|
|          royal|      372| 719|
|         unless|      371| 720|
|          enter|      370| 721|
|          plain|      370| 722|
|          aaron|      369| 723|
|         battle|      369| 724|
|          paper|      369| 725|
|         thirty|      369| 726|
|       thoughts|      369| 727|
|        archive|      367| 728|
|          books|      367| 729|
|        deliver|      367| 730|
|         pulled|      367| 731|
|          faith|      365| 732|
|        offered|      364| 733|
|        wherein|      364| 734|
|          carry|      363| 735|
|           wind|      363| 736|
|          brown|      362| 737|
|           meat|      362| 738|
|         waters|      362| 739|
|          comes|      357| 740|
|        further|      357| 741|
|       lincolns|      356| 742|
|           idea|      355| 743|
|            sit|      355| 744|
|           lips|      354| 745|
|         change|      352| 746|
|        islands|      352| 747|
|         houses|      351| 748|
|         notice|      351| 749|
|        replied|      351| 750|
|     whatsoever|      351| 751|
|           wine|      351| 752|
|        dorothy|      350| 753|
|       occasion|      350| 754|
|           past|      350| 755|
|           seek|      350| 756|
|       suddenly|      350| 757|
|            arm|      348| 758|
|        indians|      348| 759|
|        suppose|      348| 760|
|           hurt|      347| 761|
|          mercy|      347| 762|
|        outside|      347| 763|
|     particular|      347| 764|
|          serve|      347| 765|
|          below|      346| 766|
|         beside|      345| 767|
|          dwell|      345| 768|
|      condition|      344| 769|
|         follow|      344| 770|
|          fifty|      343| 771|
|    inhabitants|      343| 772|
|       interest|      343| 773|
|           nice|      343| 774|
|            top|      343| 775|
|        writing|      343| 776|
|        learned|      342| 777|
|            lie|      342| 778|
|        pleased|      342| 779|
|         showed|      341| 780|
|          agree|      340| 781|
|        blessed|      339| 782|
|            ill|      339| 783|
|            led|      339| 784|
|            lot|      339| 785|
|            oil|      339| 786|
|         thighs|      339| 787|
|            joy|      337| 788|
|    immediately|      336| 789|
|          moved|      336| 790|
|          visit|      336| 791|
|              l|      335| 792|
|        prophet|      335| 793|
|              s|      335| 794|
|       governor|      334| 795|
|           jews|      334| 796|
|          trees|      334| 797|
|          enemy|      333| 798|
|          human|      333| 799|
|       prophets|      333| 800|
|           stay|      333| 801|
|          wendy|      333| 802|
|           drew|      332| 803|
|           jack|      332| 804|
|            low|      332| 805|
|      paragraph|      332| 806|
|     understood|      332| 807|
|            yea|      332| 808|
|         months|      331| 809|
|         praise|      330| 810|
|          meant|      329| 811|
|          parts|      329| 812|
|        reached|      329| 813|
|         across|      328| 814|
