Total number of words: 2103361
Total number of distinct words: 43654
Popular treshold: 2183
Lower common treshold: 20735
Upper common treshold: 22919
Rare treshold: 41471

Popular words
+--------------+---------+----+
|          Word|Frequency|Rank|
|            ye|      495| 441|
|          also|      494| 442|
|       strange|      491| 443|
|         women|      491| 444|
|        brutus|      490| 445|
|       certain|      490| 446|
|      marianne|      489| 447|
|         until|      488| 448|
|          unto|      488| 449|
|          york|      487| 450|
|         stood|      486| 451|
|        follow|      484| 452|
|          meet|      484| 453|
|         often|      482| 454|
|        gentle|      480| 455|
|        saying|      480| 456|
|           air|      479| 457|
|          case|      479| 458|
|         point|      477| 459|
|          high|      476| 460|
|       looking|      474| 461|
|       subject|      474| 462|
|      thoughts|      474| 463|
|          four|      473| 464|
|          talk|      470| 465|
|        hamlet|      469| 466|
|       country|      468| 467|
|        seeing|      468| 468|
|       welcome|      468| 469|
|       purpose|      467| 470|
|      princess|      463| 471|
|         white|      463| 472|
|           lie|      462| 473|
|          feel|      460| 474|
|        itself|      459| 475|
|         sleep|      459| 476|
|       company|      458| 477|
|        making|      457| 478|
|           tis|      456| 479|
|         above|      455| 480|
|         wrong|      455| 481|
|           hes|      454| 482|
|          wilt|      453| 483|
|       towards|      450| 484|
|          news|      448| 485|
|        fellow|      447| 486|
|        ground|      446| 487|
|       general|      445| 488|
|          play|      443| 489|
|      remember|      441| 490|
|           ere|      436| 491|
|         sight|      433| 492|
|         ready|      431| 493|
|          need|      430| 494|
|       perhaps|      428| 495|
|          send|      428| 496|
|        spirit|      428| 497|
|         works|      425| 498|
|           bad|      423| 499|
|         knows|      423| 500|
|           bid|      421| 501|
|      question|      421| 502|
|         sound|      421| 503|
|          cold|      420| 504|
|          free|      420| 505|
|          sort|      420| 506|
|         hence|      419| 507|
|         horse|      419| 508|
|       fathers|      418| 509|
|        strong|      416| 510|
|        manner|      415| 511|
|         shame|      413| 512|
|       warwick|      409| 513|
|         thank|      408| 514|
|         youth|      408| 515|
|          fell|      406| 516|
|         kings|      405| 517|
|         whats|      405| 518|
|       account|      403| 519|
|         black|      403| 520|
|      farewell|      403| 521|
|    heathcliff|      403| 522|
|          hard|      401| 523|
|          town|      399| 524|
|          dare|      398| 525|
|       harriet|      398| 526|
|         loves|      398| 527|
|        worthy|      398| 528|
|        behind|      393| 529|
|         clown|      393| 530|
|         devil|      392| 531|
|       further|      392| 532|
|         spoke|      391| 533|
|           sit|      390| 534|
|       service|      389| 535|
|         worth|      388| 536|
|           age|      386| 537|
|           arm|      386| 538|
|       comfort|      386| 539|
|        turned|      385| 540|
|         court|      383| 541|
|        cousin|      383| 542|
|        weston|      383| 543|
|          able|      380| 544|
|     messenger|      380| 545|
|          lies|      379| 546|
|            oh|      379| 547|
|        passed|      378| 548|
|         prove|      378| 549|
|        change|      377| 550|
|     gutenberg|      376| 551|
|          pass|      376| 552|
|         false|      375| 553|
|          foot|      375| 554|
|       opinion|      375| 555|
|        charge|      374| 556|
|           mad|      374| 557|
|          kept|      373| 558|
|         small|      373| 559|
|         yours|      373| 560|
|          late|      372| 561|
|          rich|      370| 562|
|         looks|      369| 563|
|          seek|      369| 564|
|        pardon|      367| 565|
|         break|      366| 566|
|          held|      366| 567|
|       married|      366| 568|
|           sun|      366| 569|
|        taking|      366| 570|
|          glad|      365| 571|
|          gold|      365| 572|
|        honest|      365| 573|
|       justice|      365| 574|
|         shalt|      364| 575|
|    understand|      363| 576|
|          iago|      362| 577|
|        unless|      362| 578|
|           run|      360| 579|
|         worse|      360| 580|
|         close|      359| 581|
|          girl|      359| 582|
|          seem|      359| 583|
|          hair|      357| 584|
|        become|      354| 585|
|         bound|      354| 586|
|       duchess|      354| 587|
|        really|      354| 588|
|        wonder|      354| 589|
|     gentlemen|      353| 590|
|          sake|      353| 591|
|         terms|      353| 592|
|     knightley|      351| 593|
|         sense|      350| 594|
|          rome|      349| 595|
|         swear|      348| 596|
|         hours|      347| 597|
|          pity|      346| 598|
|         seems|      346| 599|
|         third|      346| 600|
|            ah|      345| 601|
|        common|      344| 602|
|        longer|      343| 603|
|         mouth|      342| 604|
|       hundred|      341| 605|
|          save|      341| 606|
|           wit|      340| 607|
|         fight|      339| 608|
|          wind|      339| 609|
|      children|      338| 610|
|           cut|      336| 611|
|         doing|      336| 612|
|        linton|      336| 613|
|         order|      336| 614|
|         water|      333| 615|
|          book|      331| 616|
|           fit|      331| 617|
|         fairy|      330| 618|
|           joy|      330| 619|
|        london|      330| 620|
|         ought|      327| 621|
|       othello|      326| 622|
|       spirits|      326| 623|
|           cry|      325| 624|
|        hither|      325| 625|
|           pip|      325| 626|
|     catherine|      324| 627|
|         crown|      324| 628|
|          five|      324| 629|
|        ladies|      324| 630|
|        pretty|      324| 631|
|           low|      323| 632|
|        curate|      321| 633|
|         grief|      321| 634|
|      possible|      321| 635|
|         uncle|      321| 636|
|          used|      321| 637|
|        giving|      320| 638|
|          lets|      320| 639|
|           sea|      320| 640|
|        virtue|      320| 641|
|         elton|      319| 642|
|         grave|      319| 643|
|          land|      319| 644|
|       evening|      318| 645|
|         plain|      318| 646|
|       antonio|      317| 647|
|          walk|      317| 648|
|        hardly|      316| 649|
|      received|      316| 650|
|         table|      316| 651|
|           law|      315| 652|
|          lips|      315| 653|
|          lose|      315| 654|
|           pay|      315| 655|
|         along|      314| 656|
|           sat|      314| 657|
|         story|      313| 658|
|       thyself|      313| 659|
|           war|      313| 660|
|       england|      312| 661|
|        breath|      311| 662|
|          kiss|      311| 663|
|          goes|      310| 664|
|         serve|      310| 665|
|        beyond|      308| 666|
|        chance|      308| 667|
|          laid|      308| 668|
|         timon|      308| 669|
|        living|      307| 670|
|         music|      306| 671|
|       suppose|      306| 672|
|        castle|      305| 673|
|          mark|      305| 674|
|         proud|      305| 675|
|           fly|      304| 676|
|       quickly|      304| 677|
|         speed|      304| 678|
|        hearts|      303| 679|
|       silence|      303| 680|
|       soldier|      303| 681|
|         write|      303| 682|
|           eat|      302| 683|
|           ten|      302| 684|
|          past|      301| 685|
|         romeo|      301| 686|
|          wise|      301| 687|
|       greater|      300| 688|
|         large|      300| 689|
|          draw|      299| 690|
|          holy|      299| 691|
|       letters|      299| 692|
|         lives|      299| 693|
|       majesty|      299| 694|
|          feet|      298| 695|
|           ear|      297| 696|
|      servants|      297| 697|
|          deal|      296| 698|
|          deep|      296| 699|
|        family|      296| 700|
|      marriage|      296| 701|
|           met|      296| 702|
|     to-morrow|      296| 703|
|       herbert|      294| 704|
|          jane|      294| 705|
|        sorrow|      294| 706|
|       hearing|      291| 707|
|          city|      290| 708|
|          fine|      290| 709|
|     happiness|      290| 710|
|          form|      289| 711|
|         visit|      289| 712|
|            de|      288| 713|
|        object|      288| 714|
|       claudio|      286| 715|
|       macbeth|      286| 716|
|       promise|      286| 717|
|          kill|      285| 718|
|        praise|      285| 719|
|     presently|      285| 720|
|           try|      285| 721|
|      re-enter|      283| 722|
|     affection|      282| 723|
|             e|      282| 724|
|    everything|      281| 725|
|          ford|      281| 726|
|         gives|      281| 727|
|         watch|      281| 728|
|     following|      280| 729|
|       villain|      280| 730|
|          born|      279| 731|
|         enemy|      279| 732|
|         heavy|      279| 733|
|            ii|      279| 734|
|      patience|      279| 735|
|     continued|      277| 736|
|          foul|      277| 737|
|      soldiers|      277| 738|
|        favour|      276| 739|
|       masters|      276| 740|
|        except|      275| 741|
|           sad|      275| 742|
|      appeared|      274| 743|
|      dulcinea|      274| 744|
|         sorry|      274| 745|
|       forward|      273| 746|
|          ears|      272| 747|
|    electronic|      272| 748|
|      occasion|      272| 749|
|        danger|      271| 750|
|          road|      271| 751|
|     certainly|      270| 752|
|            la|      270| 753|
|       valiant|      270| 754|
|        palace|      269| 755|
|        thanks|      269| 756|
|         trust|      269| 757|
|          alas|      268| 758|
|         fault|      268| 759|
|         panza|      268| 760|
|     woodhouse|      268| 761|
|        appear|      266| 762|
|         carry|      266| 763|
|      isabella|      266| 764|
|          idea|      265| 765|
|       natural|      265| 766|
|        street|      265| 767|
|        twenty|      265| 768|
|         haste|      264| 769|
|          lead|      264| 770|
|     cleopatra|      263| 771|
|         nurse|      263| 772|
|      rosalind|      263| 773|
|        wanted|      263| 774|
|       besides|      262| 775|
|          duty|      262| 776|
|     sometimes|      262| 777|
|          dark|      261| 778|
|          hell|      261| 779|
|     knowledge|      261| 780|
|      margaret|      261| 781|
|    afterwards|      260| 782|
|         books|      259| 783|
|       carried|      259| 784|
|         drink|      259| 785|
|          loss|      259| 786|
|          year|      259| 787|
|        dinner|      258| 788|
|         field|      258| 789|
|   immediately|      258| 790|
|          note|      258| 791|
|         royal|      258| 792|
|       command|      257| 793|
|          mans|      257| 794|
|       respect|      257| 795|
|       shallow|      256| 796|
|           ass|      255| 797|
|         green|      255| 798|
|    particular|      255| 799|
|       wemmick|      255| 800|
|     different|      253| 801|
|         fancy|      253| 802|
|          paid|      253| 803|
|    buckingham|      252| 804|
|         force|      252| 805|
|          lest|      252| 806|
|        squire|      252| 807|
|       troilus|      252| 808|
|       trouble|      252| 809|
|        french|      251| 810|
|      happened|      251| 811|
|          pain|      251| 812|
|       village|      251| 813|
|        office|      250| 814|
|         heres|      249| 815|
|       history|      249| 816|
|      followed|      248| 817|
|        garden|      248| 818|
|        struck|      248| 819|
|          wear|      248| 820|
|   countenance|      247| 821|
|    foundation|      247| 822|
|       instant|      247| 823|
|         pedro|      247| 824|
|         quiet|      247| 825|
|       suffolk|      247| 826|
|      strength|      246| 827|
|       heavens|      245| 828|
|        lucius|      245| 829|
|        window|      245| 830|
|          easy|      244| 831|
|           led|      244| 832|
|         party|      244| 833|
|         touch|      244| 834|
|        cassio|      243| 835|
|          hate|      243| 836|
|    appearance|      242| 837|
|      havisham|      242| 838|
|        regard|      242| 839|
