Total number of words: 25253437
Total number of distinct words: 441530
Popular treshold: 22077
Lower common treshold: 209726
Upper common treshold: 231804
Rare treshold: 419453

Popular words
+--------------------+---------+-----+
|                Word|Frequency| Rank|
|               value|     4431|  621|
|             whether|     4431|  622|
|         independent|     4410|  623|
|                 iii|     4402|  624|
|              strong|     4396|  625|
|               style|     4392|  626|
|                come|     4386|  627|
|            evidence|     4386|  628|
|             emperor|     4379|  629|
|                news|     4375|  630|
|           influence|     4370|  631|
|                  eo|     4355|  632|
|               henry|     4353|  633|
|             russian|     4353|  634|
|             despite|     4344|  635|
|                 too|     4336|  636|
|                here|     4331|  637|
|               wrote|     4320|  638|
|            elements|     4316|  639|
|             richard|     4298|  640|
|            internet|     4297|  641|
|                  id|     4295|  642|
|          democratic|     4291|  643|
|              market|     4286|  644|
|            includes|     4282|  645|
|                  my|     4274|  646|
|            practice|     4274|  647|
|               saint|     4271|  648|
|             problem|     4264|  649|
|              events|     4258|  650|
|         significant|     4251|  651|
|               women|     4248|  652|
|          parliament|     4244|  653|
|              formed|     4242|  654|
|             subject|     4242|  655|
|             nuclear|     4237|  656|
|          individual|     4221|  657|
|            commonly|     4210|  658|
|              action|     4198|  659|
|             elected|     4198|  660|
|                   l|     4198|  661|
|            actually|     4192|  662|
|          california|     4191|  663|
|                able|     4190|  664|
|              higher|     4186|  665|
|              leader|     4172|  666|
|               prize|     4172|  667|
|           education|     4171|  668|
|               novel|     4170|  669|
|             italian|     4159|  670|
|           described|     4134|  671|
|            physical|     4134|  672|
|            material|     4130|  673|
|        constitution|     4116|  674|
|             outside|     4105|  675|
|                mass|     4094|  676|
|          background|     4092|  677|
|           typically|     4085|  678|
|            received|     4084|  679|
|              future|     4083|  680|
|                town|     4059|  681|
|               films|     4057|  682|
|            complete|     4046|  683|
|           reference|     4044|  684|
|        organization|     4043|  685|
|             complex|     4041|  686|
|             federal|     4041|  687|
|                 san|     4041|  688|
|            building|     4039|  689|
|               lower|     4032|  690|
|               basic|     4027|  691|
|              writer|     4020|  692|
|             parties|     4010|  693|
|             fiction|     4008|  694|
|               legal|     4008|  695|
|                lead|     4006|  696|
|            business|     4004|  697|
|          scientific|     4000|  698|
|                food|     3998|  699|
|            followed|     3989|  700|
|                went|     3983|  701|
|             peoples|     3974|  702|
|              return|     3971|  703|
|            religion|     3964|  704|
|            problems|     3956|  705|
|                 six|     3954|  706|
|            majority|     3945|  707|
|          elementbox|     3944|  708|
|             website|     3935|  709|
|                 get|     3930|  710|
|              simply|     3928|  711|
|           beginning|     3917|  712|
|              widely|     3914|  713|
|                half|     3909|  714|
|            personal|     3908|  715|
|                 key|     3896|  716|
|              method|     3878|  717|
|                help|     3865|  718|
|                  ko|     3864|  719|
|                base|     3863|  720|
|            security|     3863|  721|
|              cannot|     3859|  722|
|                   k|     3859|  723|
|             michael|     3853|  724|
|        independence|     3835|  725|
|          australian|     3834|  726|
|             believe|     3834|  727|
|               close|     3832|  728|
|             ireland|     3832|  729|
|                  go|     3828|  730|
|              attack|     3822|  731|
|           currently|     3815|  732|
|                laws|     3815|  733|
|            features|     3814|  734|
|            services|     3809|  735|
|            required|     3808|  736|
|               media|     3807|  737|
|                  tv|     3807|  738|
|                cite|     3806|  739|
|                 pdf|     3806|  740|
|          associated|     3804|  741|
|                your|     3804|  742|
|         association|     3795|  743|
|                link|     3794|  744|
|             concept|     3785|  745|
|                 php|     3785|  746|
|             located|     3783|  747|
|                park|     3774|  748|
|              russia|     3770|  749|
|               irish|     3766|  750|
|          introduced|     3759|  751|
|            congress|     3757|  752|
|             limited|     3757|  753|
|                flag|     3749|  754|
|             changes|     3746|  755|
|             started|     3745|  756|
|               cause|     3743|  757|
|               sense|     3741|  758|
|              policy|     3739|  759|
|                user|     3736|  760|
|                away|     3734|  761|
|              points|     3731|  762|
|                love|     3722|  763|
|                male|     3722|  764|
|               peter|     3719|  765|
|              israel|     3717|  766|
|                find|     3713|  767|
|                 put|     3710|  768|
|             allowed|     3696|  769|
|           wikipedia|     3696|  770|
|                 yet|     3696|  771|
|           relations|     3690|  772|
|                font|     3687|  773|
|             provide|     3687|  774|
|             defined|     3681|  775|
|            examples|     3679|  776|
|                idea|     3675|  777|
|                ever|     3674|  778|
|                date|     3668|  779|
|            industry|     3660|  780|
|               types|     3655|  781|
|                size|     3653|  782|
|             greater|     3652|  783|
|            aircraft|     3646|  784|
|            designed|     3642|  785|
|            believed|     3639|  786|
|              growth|     3638|  787|
|                need|     3632|  788|
|               rules|     3631|  789|
|            specific|     3625|  790|
|                  al|     3621|  791|
|                past|     3617|  792|
|             founded|     3616|  793|
|         mathematics|     3611|  794|
|             release|     3611|  795|
|             edition|     3609|  796|
|                soon|     3609|  797|
|            canadian|     3605|  798|
|              across|     3598|  799|
|              larger|     3595|  800|
|              mostly|     3575|  801|
|                 box|     3568|  802|
|               speed|     3561|  803|
|             earlier|     3558|  804|
|                holy|     3554|  805|
|               italy|     3553|  806|
|               added|     3547|  807|
|              months|     3546|  808|
|             brought|     3542|  809|
|              better|     3540|  810|
|              indian|     3540|  811|
|               peace|     3538|  812|
|              online|     3531|  813|
|            politics|     3522|  814|
|             african|     3517|  815|
