Total number of words: 2960482
Total number of distinct words: 68360
Popular treshold: 3418
Lower common treshold: 32471
Upper common treshold: 35889
Rare treshold: 64942

Popular words
+---------------+---------+----+
|           Word|Frequency|Rank|
|          water|      774| 376|
|         france|      773| 377|
|          small|      773| 378|
|       anything|      771| 379|
|       business|      768| 380|
|        england|      768| 381|
|           four|      767| 382|
|          point|      764| 383|
|           room|      762| 384|
|        justice|      757| 385|
|           want|      754| 386|
|          began|      750| 387|
|          child|      747| 388|
|           gods|      746| 389|
|          grace|      746| 390|
|        morning|      745| 391|
|        captain|      744| 392|
|         spirit|      744| 393|
|          stood|      743| 394|
|            air|      740| 395|
|           turn|      740| 396|
|         turned|      740| 397|
|           fire|      737| 398|
|          least|      733| 399|
|         church|      730| 400|
|           sort|      730| 401|
|           hour|      729| 402|
|           form|      724| 403|
|          known|      714| 404|
|         strong|      714| 405|
|        strange|      713| 406|
|          black|      709| 407|
|        english|      708| 408|
|          ought|      707| 409|
|          until|      707| 410|
|         letter|      704| 411|
|            bed|      703| 412|
|            die|      703| 413|
|           lost|      703| 414|
|           york|      702| 415|
|          taken|      701| 416|
|           free|      698| 417|
|     gloucester|      695| 418|
|            nay|      691| 419|
|         number|      690| 420|
|           hast|      688| 421|
|          makes|      688| 422|
|        towards|      686| 423|
|           open|      683| 424|
|          order|      681| 425|
|         common|      680| 426|
|         please|      679| 427|
|         behind|      675| 428|
|          sense|      675| 429|
|        subject|      675| 430|
|         theres|      670| 431|
|          cause|      669| 432|
|            age|      667| 433|
|            hes|      667| 434|
|          along|      665| 435|
|           arms|      661| 436|
|         become|      660| 437|
|           wish|      660| 438|
|           hard|      659| 439|
|       remember|      659| 440|
|        already|      656| 441|
|          works|      655| 442|
|           year|      654| 443|
|       thousand|      652| 444|
|          large|      650| 445|
|        neither|      648| 446|
|           dark|      644| 447|
|      different|      644| 448|
|           care|      640| 449|
|          seems|      638| 450|
|          aside|      637| 451|
|          court|      637| 452|
|          cried|      636| 453|
|         fellow|      635| 454|
|         manner|      635| 455|
|          sight|      635| 456|
|           play|      629| 457|
|        further|      627| 458|
|        husband|      627| 459|
|           sent|      627| 460|
|           stay|      624| 461|
|            sun|      624| 462|
|           city|      617| 463|
|          earth|      616| 464|
|            ask|      613| 465|
|           fall|      611| 466|
|           feel|      607| 467|
|      knowledge|      606| 468|
|          above|      603| 469|
|           felt|      602| 470|
|        herself|      602| 471|
|          lords|      601| 472|
|         person|      600| 473|
|          terms|      600| 474|
|           meet|      599| 475|
|           seem|      597| 476|
|         passed|      595| 477|
|         return|      595| 478|
|        servant|      595| 479|
|       falstaff|      594| 480|
|       children|      593| 481|
|          human|      593| 482|
|           view|      593| 483|
|           ship|      592| 484|
|        looking|      591| 485|
|      certainly|      588| 486|
|         desire|      587| 487|
|          doubt|      587| 488|
|           book|      585| 489|
|           land|      583| 490|
|         street|      583| 491|
|      gutenberg|      581| 492|
|       pleasure|      580| 493|
|         beauty|      577| 494|
|         change|      577| 495|
|         office|      576| 496|
|          party|      576| 497|
|         coming|      575| 498|
|          faith|      572| 499|
|          third|      572| 500|
|         french|      571| 501|
|          madam|      571| 502|
|            bad|      564| 503|
|       interest|      564| 504|
|           page|      564| 505|
|      sometimes|      564| 506|
|           laws|      563| 507|
|           cold|      562| 508|
|          sound|      562| 509|
|   constitution|      561| 510|
|         follow|      561| 511|
|        suppose|      559| 512|
|           five|      558| 513|
|          youth|      558| 514|
|          short|      555| 515|
|         doctor|      554| 516|
|       yourself|      554| 517|
|            ere|      552| 518|
|           need|      552| 519|
|           fool|      550| 520|
|        chapter|      548| 521|
|        stephen|      546| 522|
|            lie|      545| 523|
|     particular|      545| 524|
|           fact|      544| 525|
|        several|      544| 526|
|          close|      543| 527|
|            run|      541| 528|
|        richard|      540| 529|
|         tongue|      540| 530|
|         caesar|      539| 531|
|           duty|      539| 532|
|            ten|      539| 533|
|           used|      538| 534|
|         making|      537| 535|
|         gentle|      536| 536|
|           held|      536| 537|
|          thine|      535| 538|
|         antony|      533| 539|
|           feet|      532| 540|
|         really|      532| 541|
|           fell|      527| 542|
|         hamlet|      527| 543|
|         ground|      526| 544|
|          marry|      526| 545|
|        opinion|      523| 546|
|          whats|      523| 547|
|           kept|      522| 548|
|          spoke|      522| 549|
|         family|      521| 550|
|        purpose|      521| 551|
|          ready|      521| 552|
|       mistress|      520| 553|
|           gold|      518| 554|
|          hence|      518| 555|
|           wind|      518| 556|
|          happy|      514| 557|
|            met|      512| 558|
|              e|      509| 559|
|       thoughts|      506| 560|
|        greater|      505| 561|
|          force|      504| 562|
|        fortune|      503| 563|
|          union|      503| 564|
|        natural|      502| 565|
|         united|      502| 566|
|            tis|      501| 567|
|           idea|      499| 568|
|          story|      499| 569|
|         brutus|      498| 570|
|      character|      498| 571|
|          music|      497| 572|
|          sleep|      493| 573|
|           talk|      493| 574|
|           dost|      492| 575|
|            sat|      492| 576|
|           able|      491| 577|
|           hair|      490| 578|
|           deep|      488| 579|
|        hundred|      488| 580|
|           unto|      488| 581|
|          wrong|      487| 582|
|      authority|      486| 583|
|          horse|      486| 584|
|        company|      485| 585|
|           girl|      485| 586|
|       national|      485| 587|
|        replied|      485| 588|
|          hours|      480| 589|
|           rome|      479| 590|
|          knows|      477| 591|
|           born|      476| 592|
|           late|      473| 593|
|           past|      471| 594|
|       possible|      471| 595|
|          watch|      471| 596|
|            cut|      470| 597|
|        fathers|      470| 598|
|          tears|      469| 599|
|           evil|      466| 600|
|          false|      465| 601|
